JobID           JobName      State    Elapsed ExitCode 
211_25       cpu_paral+     FAILED   00:00:00     0:53 
211_25.batch      batch  CANCELLED   00:00:00     0:53 
211_26       cpu_paral+     FAILED   00:00:00     0:53 
211_26.batch      batch  CANCELLED   00:00:00     0:53 
211_27       cpu_paral+     FAILED   00:00:00     0:53 
211_27.batch      batch  CANCELLED   00:00:00     0:53 
211_28       cpu_paral+     FAILED   00:00:00     0:53 
211_28.batch      batch  CANCELLED   00:00:00     0:53 
211_29       cpu_paral+     FAILED   00:00:00     0:53 
211_29.batch      batch  CANCELLED   00:00:00     0:53 
211_30       cpu_paral+     FAILED   00:00:00     0:53 
211_30.batch      batch  CANCELLED   00:00:00     0:53 
211_31       cpu_paral+     FAILED   00:00:00     0:53 
211_31.batch      batch  CANCELLED   00:00:00     0:53 
211_32       cpu_paral+     FAILED   00:00:00     0:53 
211_32.batch      batch  CANCELLED   00:00:00     0:53 
211_33       cpu_paral+     FAILED   00:00:00     0:53 
211_33.batch      batch  CANCELLED   00:00:00     0:53 
211_34       cpu_paral+     FAILED   00:00:00     0:53 
211_34.batch      batch  CANCELLED   00:00:00     0:53 
211_35       cpu_paral+     FAILED   00:00:00     0:53 
211_35.batch      batch  CANCELLED   00:00:00     0:53 
211_36       cpu_paral+     FAILED   00:00:00     0:53 
211_36.batch      batch  CANCELLED   00:00:00     0:53 
212_1                io     FAILED   00:00:00     0:53 
212_1.batch       batch  CANCELLED   00:00:00     0:53 
212_2                io     FAILED   00:00:00     0:53 
212_2.batch       batch  CANCELLED   00:00:00     0:53 
212_3                io     FAILED   00:00:00     0:53 
212_3.batch       batch  CANCELLED   00:00:00     0:53 
212_4                io     FAILED   00:00:00     0:53 
212_4.batch       batch  CANCELLED   00:00:00     0:53 
212_5                io     FAILED   00:00:00     0:53 
212_5.batch       batch  CANCELLED   00:00:00     0:53 
212_6                io     FAILED   00:00:00     0:53 
212_6.batch       batch  CANCELLED   00:00:00     0:53 
212_7                io     FAILED   00:00:00     0:53 
212_7.batch       batch  CANCELLED   00:00:00     0:53 
212_8                io     FAILED   00:00:00     0:53 
212_8.batch       batch  CANCELLED   00:00:00     0:53 
212_9                io     FAILED   00:00:00     0:53 
212_9.batch       batch  CANCELLED   00:00:00     0:53 
212_10               io     FAILED   00:00:00     0:53 
212_10.batch      batch  CANCELLED   00:00:00     0:53 
212_11               io     FAILED   00:00:00     0:53 
212_11.batch      batch  CANCELLED   00:00:00     0:53 
212_12               io     FAILED   00:00:00     0:53 
212_12.batch      batch  CANCELLED   00:00:00     0:53 
212_13               io     FAILED   00:00:00     0:53 
212_13.batch      batch  CANCELLED   00:00:00     0:53 
212_14               io     FAILED   00:00:00     0:53 
212_14.batch      batch  CANCELLED   00:00:00     0:53 
212_15               io     FAILED   00:00:00     0:53 
212_15.batch      batch  CANCELLED   00:00:00     0:53 
212_16               io     FAILED   00:00:00     0:53 
212_16.batch      batch  CANCELLED   00:00:00     0:53 
212_17               io     FAILED   00:00:00     0:53 
212_17.batch      batch  CANCELLED   00:00:00     0:53 
212_18               io     FAILED   00:00:00     0:53 
212_18.batch      batch  CANCELLED   00:00:00     0:53 
212_19               io     FAILED   00:00:00     0:53 
212_19.batch      batch  CANCELLED   00:00:00     0:53 
212_20               io     FAILED   00:00:00     0:53 
212_20.batch      batch  CANCELLED   00:00:00     0:53 
212_21               io     FAILED   00:00:00     0:53 
212_21.batch      batch  CANCELLED   00:00:00     0:53 
212_22               io     FAILED   00:00:00     0:53 
212_22.batch      batch  CANCELLED   00:00:00     0:53 
212_23               io     FAILED   00:00:00     0:53 
212_23.batch      batch  CANCELLED   00:00:00     0:53 
212_24               io     FAILED   00:00:00     0:53 
212_24.batch      batch  CANCELLED   00:00:00     0:53 
212_25               io     FAILED   00:00:00     0:53 
212_25.batch      batch  CANCELLED   00:00:00     0:53 
212_26               io     FAILED   00:00:00     0:53 
212_26.batch      batch  CANCELLED   00:00:00     0:53 
212_27               io     FAILED   00:00:00     0:53 
